780341,1451639270,131479802178245208077
787827,1451768732,133186091278875221165
818423,1452287032,139005754009693180733
810744,1452157342,138480303793282836333
785271,1451725547,132350761861775974445
836210,1452589269,141715886919523801981
782792,1451682426,131673958756534981805
798082,1451941466,136184376335804427565
833764,1452546215,141207847404418696253
805635,1452070886,137472338168603125933
821837,1452344606,139363349026215747773
790433,1451812387,133974227248162010541
828596,1452459719,140346369894622087037
792980,1451855541,134748665741980601645
800601,1451984602,136541741540123762477
808271,1452114107,137927003180303109229
803213,1452028012,136964248160769856301
826050,1452416586,139724655322651295741
795507,1451898309,135528240455963849645
831182,1452502855,140738021931484640573
813253,1452200531,138677429646217922445
815840,1452243866,138802536947961984573
838704,1452632504,142447182385333610493
